Category,Subcategory,Move_Name,Move_Link
Ukemui – Judo Breakfalls & Rolls,,Mae Ukemi,https://www.blackbeltwiki.com/mae-ukemi
Ukemui – Judo Breakfalls & Rolls,,Ushiro Ukemi,https://www.blackbeltwiki.com/ushiro-ukemi
Ukemui – Judo Breakfalls & Rolls,,Yoko Ukemi,https://www.blackbeltwiki.com/yoko-ukemi
Ukemui – Judo Breakfalls & Rolls,,Zenpo Kaiten,https://www.blackbeltwiki.com/zenpo-kaiten
Nage Waza – Judo Throws,Te Waza – Judo Throws (Hand Techniques),Ippon Seoi Nage,https://www.blackbeltwiki.com/ippon-seoi-nage
Nage Waza – Judo Throws,Te Waza – Judo Throws (Hand Techniques),Kata Guruma,https://www.blackbeltwiki.com/kata-guruma
Nage Waza – Judo Throws,Te Waza – Judo Throws (Hand Techniques),Kibisu Gaeshi,https://www.blackbeltwiki.com/kibisu-gaeshi
Nage Waza – Judo Throws,Te Waza – Judo Throws (Hand Techniques),Kouchi Gaeshi,https://www.blackbeltwiki.com/kouchi-gaeshi
Nage Waza – Judo Throws,Te Waza – Judo Throws (Hand Techniques),Kuchiki Taoshi,https://www.blackbeltwiki.com/kuchiki-taoshi
Nage Waza – Judo Throws,Te Waza – Judo Throws (Hand Techniques),Morote Gari,https://www.blackbeltwiki.com/morote-gari
Nage Waza – Judo Throws,Te Waza – Judo Throws (Hand Techniques),Morote Seoi Nage,https://www.blackbeltwiki.com/morote-seoi-nage
Nage Waza – Judo Throws,Te Waza – Judo Throws (Hand Techniques),Obi Otoshi,https://www.blackbeltwiki.com/obi-otoshi
Nage Waza – Judo Throws,Te Waza – Judo Throws (Hand Techniques),Sukui Nage,https://www.blackbeltwiki.com/sukui-nage
Nage Waza – Judo Throws,Te Waza – Judo Throws (Hand Techniques),Sumi Otoshi,https://www.blackbeltwiki.com/sumi-otoshi
Nage Waza – Judo Throws,Te Waza – Judo Throws (Hand Techniques),Tai Otoshi,https://www.blackbeltwiki.com/tai-otoshi
Nage Waza – Judo Throws,Te Waza – Judo Throws (Hand Techniques),Uchi Mata Sukashi,https://www.blackbeltwiki.com/uchi-mata-sukashi
Nage Waza – Judo Throws,Te Waza – Judo Throws (Hand Techniques),Uki Otoshi,https://www.blackbeltwiki.com/uki-otoshi
Nage Waza – Judo Throws,Te Waza – Judo Throws (Hand Techniques),Yama Arashi,https://www.blackbeltwiki.com/yama-arashi
Nage Waza – Judo Throws,Koshi Waza – Judo Throws (Hip Techniques),Daki Age,https://www.blackbeltwiki.com/daki-age
Nage Waza – Judo Throws,Koshi Waza – Judo Throws (Hip Techniques),Hane Goshi,https://www.blackbeltwiki.com/hane-goshi
Nage Waza – Judo Throws,Koshi Waza – Judo Throws (Hip Techniques),Harai Goshi,https://www.blackbeltwiki.com/harai-goshi
Nage Waza – Judo Throws,Koshi Waza – Judo Throws (Hip Techniques),Koshi Guruma,https://www.blackbeltwiki.com/koshi-guruma
Nage Waza – Judo Throws,Koshi Waza – Judo Throws (Hip Techniques),O Goshi,https://www.blackbeltwiki.com/o-goshi
Nage Waza – Judo Throws,Koshi Waza – Judo Throws (Hip Techniques),Sode Tsurikomi Goshi,https://www.blackbeltwiki.com/sode-tsurikomi-goshi
Nage Waza – Judo Throws,Koshi Waza – Judo Throws (Hip Techniques),Tsuri Goshi,https://www.blackbeltwiki.com/tsuri-goshi
Nage Waza – Judo Throws,Koshi Waza – Judo Throws (Hip Techniques),Tsurikomi Goshi,https://www.blackbeltwiki.com/tsurikomi-goshi
Nage Waza – Judo Throws,Koshi Waza – Judo Throws (Hip Techniques),Uki Goshi,https://www.blackbeltwiki.com/uki-goshi
Nage Waza – Judo Throws,Koshi Waza – Judo Throws (Hip Techniques),Ushiro Goshi,https://www.blackbeltwiki.com/ushiro-goshi
Nage Waza – Judo Throws,Koshi Waza – Judo Throws (Hip Techniques),Utsuri Goshi,https://www.blackbeltwiki.com/utsuri-goshi
Nage Waza – Judo Throws,Ashi Waza – Judo Throws (Foot Techniques),Ashi Guruma,https://www.blackbeltwiki.com/ashi-guruma
Nage Waza – Judo Throws,Ashi Waza – Judo Throws (Foot Techniques),Deashi Harai,https://www.blackbeltwiki.com/deashi-harai
Nage Waza – Judo Throws,Ashi Waza – Judo Throws (Foot Techniques),Hane Goshi Gaeshi,https://www.blackbeltwiki.com/hane-goshi-gaeshi
Nage Waza – Judo Throws,Ashi Waza – Judo Throws (Foot Techniques),Harai Goshi Gaeshi,https://www.blackbeltwiki.com/harai-goshi-gaeshi
Nage Waza – Judo Throws,Ashi Waza – Judo Throws (Foot Techniques),Harai Tsurikomi Ashi,https://www.blackbeltwiki.com/harai-tsurikomi-ashi
Nage Waza – Judo Throws,Ashi Waza – Judo Throws (Foot Techniques),Hiza Guruma,https://www.blackbeltwiki.com/hiza-guruma
Nage Waza – Judo Throws,Ashi Waza – Judo Throws (Foot Techniques),Kosoto Gake,https://www.blackbeltwiki.com/kosoto-gake
Nage Waza – Judo Throws,Ashi Waza – Judo Throws (Foot Techniques),Kosoto Gari,https://www.blackbeltwiki.com/kosoto-gari
Nage Waza – Judo Throws,Ashi Waza – Judo Throws (Foot Techniques),Kouchi Gari,https://www.blackbeltwiki.com/kouchi-gari
Nage Waza – Judo Throws,Ashi Waza – Judo Throws (Foot Techniques),O Guruma,https://www.blackbeltwiki.com/o-guruma
Nage Waza – Judo Throws,Ashi Waza – Judo Throws (Foot Techniques),Okuri Ashi Harai,https://www.blackbeltwiki.com/okuri-ashi-harai
Nage Waza – Judo Throws,Ashi Waza – Judo Throws (Foot Techniques),Osoto Gaeshi,https://www.blackbeltwiki.com/osoto-gaeshi
Nage Waza – Judo Throws,Ashi Waza – Judo Throws (Foot Techniques),Osoto Gari,https://www.blackbeltwiki.com/osoto-gari
Nage Waza – Judo Throws,Ashi Waza – Judo Throws (Foot Techniques),Osoto Guruma,https://www.blackbeltwiki.com/osoto-guruma
Nage Waza – Judo Throws,Ashi Waza – Judo Throws (Foot Techniques),Osoto Otoshi,https://www.blackbeltwiki.com/osoto-otoshi
Nage Waza – Judo Throws,Ashi Waza – Judo Throws (Foot Techniques),Ouchi Gaeshi,https://www.blackbeltwiki.com/ouchi-gaeshi
Nage Waza – Judo Throws,Ashi Waza – Judo Throws (Foot Techniques),Ouchi Gari,https://www.blackbeltwiki.com/ouchi-gari
Nage Waza – Judo Throws,Ashi Waza – Judo Throws (Foot Techniques),Sasae Tsurikomi Ashi,https://www.blackbeltwiki.com/sasae-tsurikomi-ashi
Nage Waza – Judo Throws,Ashi Waza – Judo Throws (Foot Techniques),Tsubame Gaeshi,https://www.blackbeltwiki.com/tsubame-gaeshi
Nage Waza – Judo Throws,Ashi Waza – Judo Throws (Foot Techniques),Uchi Mata,https://www.blackbeltwiki.com/uchi-mata
Nage Waza – Judo Throws,Ashi Waza – Judo Throws (Foot Techniques),Uchi Mata Gaeshi,https://www.blackbeltwiki.com/uchi-mata-gaeshi
Nage Waza – Judo Throws,Sutemi Waza – Sacrifice Techniques,Daki Wakare,https://www.blackbeltwiki.com/daki-wakare
Nage Waza – Judo Throws,Sutemi Waza – Sacrifice Techniques,Hane Makikomi,https://www.blackbeltwiki.com/hane-makikomi
Nage Waza – Judo Throws,Sutemi Waza – Sacrifice Techniques,Harai Makikomi,https://www.blackbeltwiki.com/harai-makikomi
Nage Waza – Judo Throws,Sutemi Waza – Sacrifice Techniques,Hikikomi Gaeshi,https://www.blackbeltwiki.com/hikikomi-gaeshi
Nage Waza – Judo Throws,Sutemi Waza – Sacrifice Techniques,Osoto Makikomi,https://www.blackbeltwiki.com/osoto-makikomi
Nage Waza – Judo Throws,Sutemi Waza – Sacrifice Techniques,Soto Makikomi,https://www.blackbeltwiki.com/soto-makikomi
Nage Waza – Judo Throws,Sutemi Waza – Sacrifice Techniques,Sumi Gaeshi,https://www.blackbeltwiki.com/sumi-gaeshi
Nage Waza – Judo Throws,Sutemi Waza – Sacrifice Techniques,Tani Otoshi,https://www.blackbeltwiki.com/tani-otoshi
Nage Waza – Judo Throws,Sutemi Waza – Sacrifice Techniques,Tawara Gaeshi,https://www.blackbeltwiki.com/tawara-gaeshi
Nage Waza – Judo Throws,Sutemi Waza – Sacrifice Techniques,Tomoe Nage,https://www.blackbeltwiki.com/tomoe-nage
Nage Waza – Judo Throws,Sutemi Waza – Sacrifice Techniques,Uchi Makikomi,https://www.blackbeltwiki.com/uchi-makikomi
Nage Waza – Judo Throws,Sutemi Waza – Sacrifice Techniques,Uchi Mata Makikomi,https://www.blackbeltwiki.com/uchi-mata-makikomi
Nage Waza – Judo Throws,Sutemi Waza – Sacrifice Techniques,Uki Waza,https://www.blackbeltwiki.com/uki-waza
Nage Waza – Judo Throws,Sutemi Waza – Sacrifice Techniques,Ura Nage,https://www.blackbeltwiki.com/ura-nage
Nage Waza – Judo Throws,Sutemi Waza – Sacrifice Techniques,Yoko Gake,https://www.blackbeltwiki.com/yoko-gake
Nage Waza – Judo Throws,Sutemi Waza – Sacrifice Techniques,Yoko Guruma,https://www.blackbeltwiki.com/yoko-guruma
Nage Waza – Judo Throws,Sutemi Waza – Sacrifice Techniques,Yoko Otoshi,https://www.blackbeltwiki.com/yoko-otoshi
Nage Waza – Judo Throws,Sutemi Waza – Sacrifice Techniques,Yoko Wakare,https://www.blackbeltwiki.com/yoko-wakare
Katame Waza – Judo Grappling Techniques,Osae Waza – Pinning Techniques,Kami Shiho Gatame,https://www.blackbeltwiki.com/kami-shiho-gatame
Katame Waza – Judo Grappling Techniques,Osae Waza – Pinning Techniques,Kata Gatame,https://www.blackbeltwiki.com/kata-gatame
Katame Waza – Judo Grappling Techniques,Osae Waza – Pinning Techniques,Kesa Gatame,https://www.blackbeltwiki.com/kesa-gatame
Katame Waza – Judo Grappling Techniques,Osae Waza – Pinning Techniques,Kuzure Kesa Gatame,https://www.blackbeltwiki.com/kuzure-kesa-gatame
Katame Waza – Judo Grappling Techniques,Osae Waza – Pinning Techniques,Kuzure Kami Shiho Gatame,https://www.blackbeltwiki.com/kuzure-kami-shiho-gatame
Katame Waza – Judo Grappling Techniques,Osae Waza – Pinning Techniques,Tate Shiho Gatame,https://www.blackbeltwiki.com/tate-shiho-gatame
Katame Waza – Judo Grappling Techniques,Osae Waza – Pinning Techniques,Yoko Shiho Gatame,https://www.blackbeltwiki.com/yoko-shiho-gatame
Katame Waza – Judo Grappling Techniques,Shime Waza – Choking Techniques,Do Jime,https://www.blackbeltwiki.com/do-jime
Katame Waza – Judo Grappling Techniques,Shime Waza – Choking Techniques,Gyaku Juji Jime,https://www.blackbeltwiki.com/gyaku-juji-jime
Katame Waza – Judo Grappling Techniques,Shime Waza – Choking Techniques,Hadaka Jime,https://www.blackbeltwiki.com/hadaka-jime
Katame Waza – Judo Grappling Techniques,Shime Waza – Choking Techniques,Kata Ha Jime,https://www.blackbeltwiki.com/kata-ha-jime
Katame Waza – Judo Grappling Techniques,Shime Waza – Choking Techniques,Kata Juji Jime,https://www.blackbeltwiki.com/kata-juji-jime
Katame Waza – Judo Grappling Techniques,Shime Waza – Choking Techniques,Kata Te Jime,https://www.blackbeltwiki.com/kata-te-jime
Katame Waza – Judo Grappling Techniques,Shime Waza – Choking Techniques,Nami Juji Jime,https://www.blackbeltwiki.com/nami-juji-jime
Katame Waza – Judo Grappling Techniques,Shime Waza – Choking Techniques,Okuri Eri Jime,https://www.blackbeltwiki.com/okuri-eri-jime
Katame Waza – Judo Grappling Techniques,Shime Waza – Choking Techniques,Ryo Te Jime,https://www.blackbeltwiki.com/ryo-te-jime
Katame Waza – Judo Grappling Techniques,Shime Waza – Choking Techniques,Sankaku Jime,https://www.blackbeltwiki.com/sankaku-jime
Katame Waza – Judo Grappling Techniques,Shime Waza – Choking Techniques,Sode Guruma Jime,https://www.blackbeltwiki.com/sode-guruma-jime
Katame Waza – Judo Grappling Techniques,Shime Waza – Choking Techniques,Tsukkomi Jime,https://www.blackbeltwiki.com/tsukkomi-jime
Katame Waza – Judo Grappling Techniques,Kansetsu Waza – Joint Lock Techniques,Ashi Garami,https://www.blackbeltwiki.com/ashi-garami
Katame Waza – Judo Grappling Techniques,Kansetsu Waza – Joint Lock Techniques,Ude Garami,https://www.blackbeltwiki.com/ude-garami
Katame Waza – Judo Grappling Techniques,Kansetsu Waza – Joint Lock Techniques,Ude Hishigi Ashi Gatame,https://www.blackbeltwiki.com/ude-hishigi-ashi-gatame
Katame Waza – Judo Grappling Techniques,Kansetsu Waza – Joint Lock Techniques,Ude Hishigi Hara Gatame,https://www.blackbeltwiki.com/ude-hishigi-hara-gatame
Katame Waza – Judo Grappling Techniques,Kansetsu Waza – Joint Lock Techniques,Ude Hishigi Hiza Gatame,https://www.blackbeltwiki.com/ude-hishigi-hiza-gatame
Katame Waza – Judo Grappling Techniques,Kansetsu Waza – Joint Lock Techniques,Ude Hishigi Juji Gatame,https://www.blackbeltwiki.com/ude-hishigi-juji-gatame
Katame Waza – Judo Grappling Techniques,Kansetsu Waza – Joint Lock Techniques,Ude Hishigi Sankaku Gatame,https://www.blackbeltwiki.com/ude-hishigi-sankaku-gatame
Katame Waza – Judo Grappling Techniques,Kansetsu Waza – Joint Lock Techniques,Ude Hishigi Te Gatame,https://www.blackbeltwiki.com/ude-hishigi-te-gatame
Katame Waza – Judo Grappling Techniques,Kansetsu Waza – Joint Lock Techniques,Ude Hishigi Ude Gatame,https://www.blackbeltwiki.com/ude-hishigi-ude-gatame
Katame Waza – Judo Grappling Techniques,Kansetsu Waza – Joint Lock Techniques,Ude Hishigi Waki Gatame,https://www.blackbeltwiki.com/ude-hishigi-waki-gatame
Kinshi-Waza,,Ashi Garami,https://www.blackbeltwiki.com/ashi-garami
Kinshi-Waza,,Do Jime,https://www.blackbeltwiki.com/do-jime
Kinshi-Waza,,Kani Basami,https://www.blackbeltwiki.com/kani-basami
Kinshi-Waza,,Kawazu Gake,https://www.blackbeltwiki.com/kawazu-gake
List of Judo Throwing Techniques (or Nage Waza),,Judo Throws-Foot Techniques,https://www.blackbeltwiki.com/judo-throws-foot-techniques
List of Judo Throwing Techniques (or Nage Waza),,Judo Throws-Hand Techniques,https://www.blackbeltwiki.com/judo-throws-hand-techniques
List of Judo Throwing Techniques (or Nage Waza),,Judo Throws-Hip Techniques,https://www.blackbeltwiki.com/judo-throws-hip-techniques
List of Judo Throwing Techniques (or Nage Waza),,Judo Throws-Sacrifice Techniques,https://www.blackbeltwiki.com/judo-throws-sacrifice-techniques
List of Judo Grappling Techniques (or Katame Waza),,Judo Pinning Techniques,https://www.blackbeltwiki.com/judo-pinning-techniques
List of Judo Grappling Techniques (or Katame Waza),,Judo Choking Techniques,https://www.blackbeltwiki.com/judo-choking-techniques
List of Judo Grappling Techniques (or Katame Waza),,Judo Joint Lock Techniques,https://www.blackbeltwiki.com/judo-joint-lock-techniques
Related Pages,,Judo Terminology,https://blackbeltwiki.com/judo-terminology
Related Pages,,Judo Hip Throws,https://blackbeltwiki.com/judo-throws-hip-techniques
Related Pages,,Judo Hand Throws,https://blackbeltwiki.com/judo-throws-hand-techniques
Related Pages,,Judo Foot Throws,https://blackbeltwiki.com/judo-throws-foot-techniques
Related Pages,,Judo Sacrifice Throws,https://blackbeltwiki.com/judo-throws-sacrifice-techniques
Related Pages,,Judo Forbidden Techniques,https://blackbeltwiki.com/kinshi-waza
